problem,numSols,stage,gap,time,iterations
sing44,1,1,15.395242800449772,8.731407998,3
snp-02-004-104,0,2,100,17.647965419,20
sorrell3,1,1,62.5,0.763304149,1
sp150x300d,0,2,100,0.040640871,20
sp97ar,1,1,37.91097654663269,0.471142822,1
sp98ar,1,1,31.495286339870205,0.526608292,1
splice1k1,1,1,98.98477157360406,59.096954793,9
square41,1,2,58.333333333333336,1537.111497127,11
square47,0,2,100,3602.466255293,9
supportcase10,1,1,22.22222222222222,96.07050026,8
supportcase12,1,2,2.9422233223052934,3.863849826,3
supportcase18,1,1,27.272727272727273,0.127651298,1
supportcase26,0,2,100,0.058699867,20
supportcase33,0,2,100,2.375559516,20
supportcase40,1,1,76.76078765181019,1.31364717,8
supportcase42,1,2,5.0432280763479564,1.977336843,5
supportcase6,1,1,0.45347134011323437,4.627407162,4
supportcase7,1,1,17.97375584900688,4.528729459,9
swath,0,2,100,0.588681944,20
swath1,0,2,100,0.446460782,20
swath3,1,2,8.600222373280884,0.55787656,19
t1717,0,2,100,55.685704644,20
tbfp-network,1,2,8.901688719961989,15.834658541,15
thor50dday,1,2,80.2411134631461,4.151538918,13
timtab1,0,2,100,0.059965819,16
timtab2,0,2,100,0.113182537,18
tr12-30,0,2,100,0.091992373,20
traininstance2,0,2,100,0.094278089,20
traininstance6,0,2,100,0.059736894,20
trento1,1,1,7.120050342687513,10.971118947,10
triptim1,1,2,0.0524473232103852,19.921430377,4
uccase12,1,2,0.0053297469509994075,7.167815281,11
uccase9,1,1,55.15718924809947,5.572092343,9
uct-subprob,1,1,13.01939058171745,0.528409754,7
unitcal_7,0,2,100,3.988841548,20
var-smallemery-m6j6,1,1,13.430968138512595,2.557283658,5
vpm2,1,2,30.126582278481006,0.015667092,13
wachplan,0,2,100,1.977573077,20
