problem,numSols,stage,gap,time,iterations
neos20,1,2,76.036866359447,7.222935495,957
neos5,1,1,21.05263157894737,0.018940627,7
neos7,1,2,13.430319864512263,0.171187561,26
neos8,1,2,100.0,0.078060532,2
net12,1,1,16.07843137254902,3.123745398,22
netdiversion,1,1,43.851508120649655,62.428554455,10
nexp-150-20-8-5,1,1,59.33098591549296,0.448041511,7
nh97p,1,3,11.152882205513784,9.356853423,866
nh97t,1,3,8.516129032258064,9.3669975,820
noswot,1,2,7.317073170731708,0.068551641,42
ns1116954,1,3,0.0,890.500357683,1225
ns1208400,1,2,0.0,22.878623849,172
ns1644855,1,1,8.834463153290857,964.475390942,59
ns1760995,1,1,11.013750757364667,68.436223106,74
ns1830653,1,3,84.09066362191604,33.033718158,1076
ns1952667,0,3,100,1572.48063779,969
nsrand-ipx,1,1,18.15856777493606,0.05745745,1
nu25-pr12,1,2,3.118260244428469,0.288185585,18
nursesched-medium-hint03,1,2,88.88888888888889,16.614630437,18
nursesched-sprint02,1,2,31.764705882352942,2.450431892,14
nw04,1,1,3.722736096836816,2.068953559,9
opm2-z10-s4,1,1,94.36712855811717,27.513608602,1
opt1217,1,1,0.0,0.146204666,48
p200x1188c,1,1,4.24842827205182,0.182875716,31
p2756,1,2,45.08701001933556,0.049217701,5
peg-solitaire-a3,0,3,100,284.184085728,863
pg,1,1,10.0189770120539,0.241489145,53
pg5_34,1,1,3.4899007355290466,0.316378925,52
physiciansched3-3,1,2,84.7149828356407,75.36291361,174
physiciansched6-2,1,3,5.195379322274973,88.525879488,1227
piperout-08,1,3,85.52468460584846,32.132736171,866
piperout-27,1,3,18.629807692307693,43.536415206,892
pk1,1,1,93.29268292682927,0.19682631,72
pp08a,1,1,8.468244084682441,0.028079958,23
pp08aCUTS,1,1,6.488549618320611,0.036444152,22
proteindesign121hz512p9,1,2,2.320954907161804,3.847446701,19
proteindesign122trx11p8,1,2,1.1318619128466327,1.027471022,4
protfold,1,1,64.51612903225806,4.861363255,30
qap10,1,1,16.256157635044676,12.755598033,2
qiu,1,1,100.0,0.115780604,7
rB10-011000,1,1,69.7404860441236,0.761785712,46
rB10-011001,1,1,61.95748994582379,0.674747896,38
rB11-010000,1,1,70.58853331081652,1.499256247,36
rB11-110001,1,1,60.792587496775305,3.322562174,33
rB12-111111,1,2,45.0257513615276,44.010574277,698
rC10-001000,1,1,56.49202733485193,0.24191524,29
rC10-100001,1,1,79.65237335249913,6.139204439,152
rC11-010100,1,1,77.62951173928279,0.189743334,1
rC11-011100,1,1,82.77451594814791,0.158245604,1
rC12-100000,1,1,65.6182096676522,11.208838469,95
rC12-111100,1,1,66.09018637929512,0.269772022,1
radiationm18-12-05,1,2,67.2758434397064,2.331900853,114
radiationm40-10-02,1,2,97.98923574181107,35.913681534,379
rail01,1,1,28.02888558355128,993.189952472,17
rail02,0,0,0,3600.0,0
rail507,1,1,11.6751269035533,1.041199753,1
ran14x18-disj-8,1,1,38.58371939131207,0.296214142,31
rd-rplusc-21,1,3,36.9090658713965,33.774875834,902
reblock115,1,1,6.954247191398356,2.754073136,127
rmatr100-p10,1,1,10.19108280254777,0.510898798,3
rmatr200-p5,1,1,16.293279022403258,12.620350903,2
rocI-4-11,1,3,99.99662802068302,23.046374158,1348
rocII-5-11,1,2,90.57000569261648,18.723989611,401
roi2alpha3n4,1,1,37.81695603060147,37.495880461,39
roi5alpha10n8,1,1,60.80721330092933,536.672560639,36
roll3000,1,2,22.428837937052418,0.846922683,45
rout,1,2,36.85764845132485,0.117176424,33
s100,1,1,2.76342602419417,239.156900697,4
s250r10,1,1,0.05382611447755174,60.509628092,2
satellites2-40,1,2,100.0,68.790902659,147
satellites2-60-fs,1,3,100.0,136.588876228,688
savsched1,1,2,6.178563097736713,194.389646246,13
sct2,1,1,39.90643758260913,0.685706392,32
set1ch,1,1,53.296581666841504,0.069787436,31
seymour,1,1,4.943820224719101,0.581424676,1
seymour1,1,1,0.17503258522414217,2.665665715,7
sing326,1,1,13.503512277233192,28.468535797,44
sing44,1,1,21.124023918045605,37.096659374,57
snp-02-004-104,1,2,1.956739520672068,22.795014419,35
sorrell3,1,1,87.5,0.764617657,1
sp150x300d,1,1,2.816901408450704,0.063484115,32
sp97ar,1,1,14.953838622829036,0.934187796,3
sp98ar,1,1,12.182958969390803,0.540111733,1
splice1k1,1,1,98.22335025380711,66.972984976,15
square41,1,2,6.25,3252.318430863,22
square47,0,3,100,3601.85859849,10
supportcase10,1,1,58.8235294117647,113.971753554,12
supportcase12,1,2,2.807507730320472,14.770194871,26
supportcase18,1,1,27.272727272727273,0.123747814,1
supportcase26,1,1,92.23198539613762,0.201304384,89
supportcase33,1,2,59.42028985507246,17.157198121,204
supportcase40,1,1,15.500297884123963,4.811409574,18
supportcase42,1,2,14.75703316681584,6.824550787,23
supportcase6,1,1,0.6668107583838833,11.087137438,11
supportcase7,1,1,9.165479434436069,8.684952783,26
swath,1,2,64.89895851672779,37.700279494,447
swath1,1,1,20.07053010553283,1.789354602,64
swath3,1,1,17.941845849347356,1.803768427,61
t1717,1,1,34.584100364120935,110.427775528,46
tbfp-network,1,1,29.550516311781184,21.586145011,26
thor50dday,1,1,64.18583631659165,9.538499052,33
timtab1,1,2,45.03551476827873,0.332767688,94
timtab2,1,3,47.17422879315175,6.915997892,1048
tr12-30,1,1,42.92058025236345,0.211555761,45
traininstance2,1,2,79.70957170301729,0.973215382,247
traininstance6,1,2,53.17775571002979,0.269176465,115
trento1,1,1,80.01778708406775,7.256164039,12
triptim1,1,2,0.1397373810502232,22.488147687,8
uccase12,1,1,2.0271555659366784,10.933417889,19
uccase9,1,1,98.00488802418764,38.600780311,136
uct-subprob,1,1,10.795454545454545,0.424367005,10
unitcal_7,1,1,17.395869251355343,17.07510033,129
var-smallemery-m6j6,1,1,17.635988777507027,21.697227385,72
vpm2,1,1,29.230769230769226,0.027861829,25
wachplan,1,2,2.220446049250313e-14,3.097458633,36
